system	surface	frame	state	role	status	source_path	repo_path	size_bytes	notes
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.densitiesinfo	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.densitiesinfo	1838	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.engrad	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.engrad	18324	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.inp	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.inp	578	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.opt	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.opt	128876	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check	normal	/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.out	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.out	31748005	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry.xyz	12255	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check	normal	/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry_engrad.out	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry_engrad.out	308476	non-primary check or exploratory calculation
amp	canonical	frame12	engrad_dry_first	check		/data/Seafile/amp/frames/frame12/engrad_dry_first/dry/amp_frame12_dry_trj.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/engrad_dry_first/dry/amp_frame12_dry_trj.xyz	1605552	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check		/data/Seafile/amp/frames/frame12/r2scan/amp_frame12.xyz	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12.xyz	12247	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check		/data/Seafile/amp/frames/frame12/r2scan/amp_frame12_dry_r2scan.bibtex	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12_dry_r2scan.bibtex	3094	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check		/data/Seafile/amp/frames/frame12/r2scan/amp_frame12_dry_r2scan.densitiesinfo	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12_dry_r2scan.densitiesinfo	1838	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check		/data/Seafile/amp/frames/frame12/r2scan/amp_frame12_dry_r2scan.engrad	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12_dry_r2scan.engrad	18324	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check		/data/Seafile/amp/frames/frame12/r2scan/amp_frame12_dry_r2scan.inp	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12_dry_r2scan.inp	580	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check		/data/Seafile/amp/frames/frame12/r2scan/amp_frame12_dry_r2scan.opt	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12_dry_r2scan.opt	131800	non-primary check or exploratory calculation
amp	canonical	frame12	r2scan	check	normal	/data/Seafile/amp/frames/frame12/r2scan/amp_frame12_dry_r2scan.out	data/primary_calculations/canonical_surface/amp/checks/frame12/r2scan/amp_frame12_dry_r2scan.out	10975749	non-primary check or exploratory calculation
